Option,column name,column reference,total users,Plain JavaScript,ES6,CoffeeScript,TypeScript,Elm,ClojureScript,No Framework,React,Angular,Angular 2,Ember,Vue,Backbone,Redux,MobX,Relay,Custom REST API,Firebase,GraphQL,Apollo,Falcor,Horizon,Meteor,FeathersJS,DoneJS,MERN,MEAN,Mocha,Jasmine,Enzyme,Jest,Cucumber,Ava,Plain CSS,SASS/SCSS,LESS,CSS Modules,Aphrodite,Webpack,Grunt,Gulp,Browserify,Bower,Native Apps,React Native,Cordova,PhoneGap,NativeScript
column number,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
results column name,,,,B,C,D,E,F,G,I,J,K,L,M,N,O,R,S,T,W,X,Y,Z,AA,AB,AE,AF,AG,AH,AI,AL,AM,AN,AO,AP,AQ,AT,AU,AV,AW,AX,BA,BB,BC,BD,BE,BH,BI,BJ,BK,BL
results column reference,,,,results!B:B,results!C:C,results!D:D,results!E:E,results!F:F,results!G:G,results!I:I,results!J:J,results!K:K,results!L:L,results!M:M,results!N:N,results!O:O,results!R:R,results!S:S,results!T:T,results!W:W,results!X:X,results!Y:Y,results!Z:Z,results!AA:AA,results!AB:AB,results!AE:AE,results!AF:AF,results!AG:AG,results!AH:AH,results!AI:AI,results!AL:AL,results!AM:AM,results!AN:AN,results!AO:AO,results!AP:AP,results!AQ:AQ,results!AT:AT,results!AU:AU,results!AV:AV,results!AW:AW,results!AX:AX,results!BA:BA,results!BB:BB,results!BC:BC,results!BD:BD,results!BE:BE,results!BH:BH,results!BI:BI,results!BJ:BJ,results!BK:BK,results!BL:BL
total users,,,,7364,6886,540,1937,325,184,4404,4605,2902,1240,633,835,1149,3184,223,142,7393,1650,465,118,68,96,1019,84,25,395,2004,4314,3729,998,436,872,367,6858,6818,3457,1986,107,4658,2574,5220,2805,2955,2758,1198,1868,1411,186
Plain JavaScript,B,results!B:B,7364,1,0.07,-0.02,-0.04,-0.05,-0.01,0.22,-0.01,0.04,0,0.02,0.02,0.08,-0.03,-0.02,-0.02,0.12,0.03,-0.03,-0.04,-0.01,0,-0.01,-0.03,-0.01,0.01,0.08,0.02,0.05,-0.01,-0.02,0,-0.01,0.21,0.05,0.04,-0.03,-0.01,-0.01,0.09,0.08,0.07,0.03,0.04,-0.04,0.04,0.05,0
ES6,C,results!C:C,6886,0.07,1,-0.02,0.14,0.06,0.03,-0.01,0.42,-0.05,0.08,0.09,0.07,0.02,0.37,0.08,0.06,0.19,0.11,0.11,0.05,0.02,0.04,0.06,0.02,-0.02,0.1,0.09,0.34,0.2,0.18,0.11,0.05,0.11,-0.03,0.13,0.03,0.11,0.05,0.43,-0.06,0.1,0.15,-0.11,0.02,0.17,0.01,-0.02,0.02
CoffeeScript,D,results!D:D,540,-0.02,-0.02,1,0.01,0.04,0.04,0,0.01,0.01,0,0.05,0.03,0.05,-0.01,0.01,0.02,0.02,0,0.02,0.03,0.03,0.02,0.05,0.01,0.01,0.02,0.01,0.03,0.03,-0.01,0.01,0.09,0.01,-0.03,0.06,0.06,0.01,0.01,-0.02,0.05,0.02,0.04,0.08,0.04,0.02,0.01,0.02,0.02
TypeScript,E,results!E:E,1937,-0.04,0.14,0.01,1,0.06,0.04,-0.05,-0.03,0.2,0.48,-0.02,-0.01,-0.04,0,0.05,0.02,0.08,0.05,0.02,0.02,0.03,0.03,-0.01,-0.01,0,-0.01,0.14,0.05,0.15,-0.03,-0.01,0.01,0.02,-0.03,0.03,0.05,-0.01,-0.01,0.07,0.01,0.09,0,0.03,0.05,0.01,0.09,0.05,0.14
Elm,F,results!F:F,325,-0.05,0.06,0.04,0.06,1,0.15,-0.01,0.1,-0.06,-0.02,0.02,0.02,-0.02,0.11,0.05,0.05,0.02,0.04,0.07,0.02,0.02,0.03,0,0.01,0.01,0.04,-0.05,0.08,0.04,0.06,0.07,0.03,0.1,-0.02,0.01,0,0.05,0.06,0.08,-0.06,-0.04,0.01,-0.06,0.03,0.06,-0.03,-0.03,-0.02
ClojureScript,G,results!G:G,184,-0.01,0.03,0.04,0.04,0.15,1,-0.02,0.1,-0.04,0,0.05,0.01,0.01,0.07,0.05,0.11,0.03,0.03,0.09,0.01,0.06,0.03,0,0.04,0.02,0.02,-0.03,0.07,0.03,0.07,0.07,0.04,0.06,-0.02,0.01,0.01,0.03,0.04,0.06,-0.03,-0.01,0.03,-0.03,0.03,0.07,-0.01,-0.01,0
No Framework,I,results!I:I,4404,0.22,-0.01,0,-0.05,-0.01,-0.02,1,-0.05,-0.06,-0.05,0,0.02,0.09,-0.08,-0.03,-0.02,0.11,0,-0.02,-0.02,0,-0.03,-0.04,-0.01,0.01,0.01,-0.01,-0.03,-0.02,-0.06,-0.02,-0.03,0,0.18,0.02,-0.01,-0.02,-0.02,-0.06,0.07,0.04,0.06,0,0.04,-0.04,0.02,0.04,0
React,J,results!J:J,4605,-0.01,0.42,0.01,-0.03,0.1,0.1,-0.05,1,-0.16,-0.05,0.02,-0.02,0.02,0.62,0.14,0.11,0.11,0.11,0.17,0.09,0.05,0.04,0.08,0.04,0.01,0.19,-0.01,0.32,0.12,0.33,0.19,0.06,0.13,-0.03,0.1,0.01,0.19,0.09,0.54,-0.09,0.02,0.14,-0.17,0.04,0.33,-0.07,-0.07,-0.01
Angular,K,results!K:K,2902,0.04,-0.05,0.01,0.2,-0.06,-0.04,-0.06,-0.16,1,0.36,-0.02,-0.05,-0.02,-0.14,-0.04,-0.02,0.06,0.08,-0.04,-0.03,0.02,0.01,0.01,-0.01,0.01,-0.01,0.36,-0.01,0.18,-0.11,-0.05,0.02,-0.05,0.02,0.09,0.12,-0.04,-0.02,-0.09,0.17,0.2,0.03,0.25,0.02,-0.07,0.17,0.14,0.06
Angular 2,L,results!L:L,1240,0,0.08,0,0.48,-0.02,0,-0.05,-0.05,0.36,1,0.01,-0.02,0,-0.02,0,0.02,0.04,0.09,0.02,0.02,0.05,0.04,0.04,0.02,0.02,0.01,0.22,0.02,0.15,-0.06,-0.01,0.01,-0.01,0,0.07,0.07,0.02,0.01,0.03,0.06,0.13,0.03,0.09,0.05,0,0.13,0.1,0.15
Ember,M,results!M:M,633,0.02,0.09,0.05,-0.02,0.02,0.05,0,0.02,-0.02,0.01,1,0.04,0.09,0.01,0.02,0.03,0.03,0.11,0.02,0,0.05,0.02,0.05,0.03,0.08,0,0.01,0.08,0.05,0.01,0.04,0.09,0.01,0.01,0.09,0.03,0.04,0.02,0.01,0.06,0.04,0.08,0.1,0.05,0.04,0.02,0.02,0.01
Vue,N,results!N:N,835,0.02,0.07,0.03,-0.01,0.02,0.01,0.02,-0.02,-0.05,-0.02,0.04,1,0.01,-0.01,0.04,0.01,0.03,0.06,0.01,0.01,0.03,0.05,0.05,0.07,0.08,0.02,0,-0.01,-0.03,-0.03,0,-0.01,0.02,-0.01,0.06,0.01,0.02,0.02,0.08,-0.04,0.08,0.09,0.01,0.02,0.01,0.02,0.02,0.01
Backbone,O,results!O:O,1149,0.08,0.02,0.05,-0.04,-0.02,0.01,0.09,0.02,-0.02,0,0.09,0.01,1,-0.02,-0.02,0,0.07,0.03,0.01,0,0.03,-0.01,0.01,0.01,0.04,0.01,0.05,0.09,0.1,-0.01,0.01,0.07,0,0.04,0.05,0.08,0.01,-0.01,0.02,0.13,0.07,0.1,0.05,0.04,-0.01,0.04,0.06,0.02
Redux,R,results!R:R,3184,-0.03,0.37,-0.01,0,0.11,0.07,-0.08,0.62,-0.14,-0.02,0.01,-0.01,-0.02,1,0.1,0.13,0.12,0.11,0.17,0.09,0.06,0.05,0.01,0.04,0,0.17,-0.02,0.33,0.13,0.38,0.21,0.05,0.14,-0.03,0.09,0,0.2,0.1,0.51,-0.12,-0.01,0.08,-0.19,0.03,0.29,-0.07,-0.07,0
MobX,S,results!S:S,223,-0.02,0.08,0.01,0.05,0.05,0.05,-0.03,0.14,-0.04,0,0.02,0.04,-0.02,0.1,1,0.1,0.01,0.05,0.1,0.09,0.06,0.06,0.03,0.1,0.09,0.06,0,0.07,0.01,0.15,0.09,0.02,0.1,0,0,0.01,0.09,0.16,0.12,-0.04,-0.02,0.01,-0.06,0.02,0.12,0.01,0,0.03
Relay,T,results!T:T,142,-0.02,0.06,0.02,0.02,0.05,0.11,-0.02,0.11,-0.02,0.02,0.03,0.01,0,0.13,0.1,1,0,0.03,0.45,0.15,0.12,0.08,0.02,0.05,0.06,0.06,-0.01,0.09,0.03,0.14,0.17,0.04,0.09,-0.03,0,0,0.1,0.1,0.11,-0.02,-0.03,0,-0.04,0.04,0.14,0,0.01,0.03
Custom REST API,W,results!W:W,7393,0.12,0.19,0.02,0.08,0.02,0.03,0.11,0.11,0.06,0.04,0.03,0.03,0.07,0.12,0.01,0,1,0.06,-0.01,-0.04,0,0.02,-0.03,0,-0.01,0.05,0.1,0.17,0.15,0.06,0.02,0.06,0.02,0.05,0.1,0.06,0.01,0,0.14,0.05,0.08,0.08,0.03,0.11,0.05,0.06,0.04,0
Firebase,X,results!X:X,1650,0.03,0.11,0,0.05,0.04,0.03,0,0.11,0.08,0.09,0.11,0.06,0.03,0.11,0.05,0.03,0.06,1,0.08,0.03,0.07,0.08,0.08,0.04,0.03,0.08,0.13,0.09,0.09,0.07,0.05,0.04,0.05,0.04,0.11,0.03,0.08,0.04,0.12,0.01,0.1,0.09,0.07,0.07,0.13,0.09,0.07,0.07
GraphQL,Y,results!Y:Y,465,-0.03,0.11,0.02,0.02,0.07,0.09,-0.02,0.17,-0.04,0.02,0.02,0.01,0.01,0.17,0.1,0.45,-0.01,0.08,1,0.42,0.15,0.12,0.09,0.07,0.05,0.09,0.02,0.13,0.05,0.17,0.15,0.06,0.1,-0.03,0.01,0,0.12,0.12,0.14,-0.02,-0.02,0.02,-0.05,0.05,0.2,0.03,0.03,0.04
Apollo,Z,results!Z:Z,118,-0.04,0.05,0.03,0.02,0.02,0.01,-0.02,0.09,-0.03,0.02,0,0.01,0,0.09,0.09,0.15,-0.04,0.03,0.42,1,0.15,0.12,0.14,0.1,0.07,0.05,0.01,0.05,0,0.08,0.07,0.04,0.09,-0.02,0,0.02,0.06,0.09,0.06,-0.03,-0.03,-0.01,-0.03,0.01,0.12,0.02,0,0.05
Falcor,AA,results!AA:AA,68,-0.01,0.02,0.03,0.03,0.02,0.06,0,0.05,0.02,0.05,0.05,0.03,0.03,0.06,0.06,0.12,0,0.07,0.15,0.15,1,0.17,0.03,0.1,0.14,0.05,0.02,0.05,0.04,0.06,0.08,0.09,0.08,-0.01,0.02,0.01,0.05,0.07,0.05,-0.01,0.02,0.03,-0.01,0.02,0.08,0.02,0.02,0.04
Horizon,AB,results!AB:AB,96,0,0.04,0.02,0.03,0.03,0.03,-0.03,0.04,0.01,0.04,0.02,0.05,-0.01,0.05,0.06,0.08,0.02,0.08,0.12,0.12,0.17,1,0.04,0.14,0.1,0.03,0.01,0.03,0.01,0.05,0.05,0.03,0.06,0.01,0,0,0.04,0.05,0.04,-0.03,-0.01,0.01,-0.01,0.03,0.09,0.05,0.04,0.07
Meteor,AE,results!AE:AE,1019,-0.01,0.06,0.05,-0.01,0,0,-0.04,0.08,0.01,0.04,0.05,0.05,0.01,0.01,0.03,0.02,-0.03,0.08,0.09,0.14,0.03,0.04,1,0.07,0.07,0.04,0.09,0.02,0.01,0.01,0,0.05,-0.01,-0.01,0.03,0.04,0.01,0.02,0,0.02,0.01,0.03,0.05,0.02,0.07,0.1,0.06,0.05
FeathersJS,AF,results!AF:AF,84,-0.03,0.02,0.01,-0.01,0.01,0.04,-0.01,0.04,-0.01,0.02,0.03,0.07,0.01,0.04,0.1,0.05,0,0.04,0.07,0.1,0.1,0.14,0.07,1,0.24,0.04,0,0.03,0,0.03,0.04,0.02,0.06,0.01,0,0,0.03,0.11,0.04,-0.01,-0.01,0.02,-0.02,0.01,0.07,0.04,0.02,0.07
DoneJS,AG,results!AG:AG,25,-0.01,-0.02,0.01,0,0.01,0.02,0.01,0.01,0.01,0.02,0.08,0.08,0.04,0,0.09,0.06,-0.01,0.03,0.05,0.07,0.14,0.1,0.07,0.24,1,0.07,0.04,0,0.01,0.04,0.04,0.03,0.04,0.01,0,0.02,0.04,0.11,0.01,0.01,0.02,0.03,0.01,0.01,0.05,0.04,0.02,0.08
MERN,AH,results!AH:AH,395,0.01,0.1,0.02,-0.01,0.04,0.02,0.01,0.19,-0.01,0.01,0,0.02,0.01,0.17,0.06,0.06,0.05,0.08,0.09,0.05,0.05,0.03,0.04,0.04,0.07,1,0.09,0.12,0.04,0.13,0.07,0.01,0.1,0,0.05,0.02,0.08,0.06,0.15,-0.01,0.04,0.04,-0.03,0.03,0.12,-0.01,0,0
MEAN,AI,results!AI:AI,2004,0.08,0.09,0.01,0.14,-0.05,-0.03,-0.01,-0.01,0.36,0.22,0.01,0,0.05,-0.02,0,-0.01,0.1,0.13,0.02,0.01,0.02,0.01,0.09,0,0.04,0.09,1,0.12,0.17,-0.04,0,0.04,-0.01,0.04,0.09,0.1,0.01,0,0.03,0.13,0.17,0.07,0.14,0.06,0.01,0.12,0.1,0.08
Mocha,AL,results!AL:AL,4314,0.02,0.34,0.03,0.05,0.08,0.07,-0.03,0.32,-0.01,0.02,0.08,-0.01,0.09,0.33,0.07,0.09,0.17,0.09,0.13,0.05,0.05,0.03,0.02,0.03,0,0.12,0.12,1,0.42,0.3,0.16,0.15,0.08,-0.01,0.11,0.08,0.12,0.04,0.33,0,0.08,0.13,-0.07,0.05,0.15,0.02,0.01,0
Jasmine,AM,results!AM:AM,3729,0.05,0.2,0.03,0.15,0.04,0.03,-0.02,0.12,0.18,0.15,0.05,-0.03,0.1,0.13,0.01,0.03,0.15,0.09,0.05,0,0.04,0.01,0.01,0,0.01,0.04,0.17,0.42,1,0.09,0.15,0.17,0,0,0.15,0.14,0.05,-0.01,0.17,0.11,0.13,0.09,0.06,0.05,0.05,0.08,0.07,0.02
Enzyme,AN,results!AN:AN,998,-0.01,0.18,-0.01,-0.03,0.06,0.07,-0.06,0.33,-0.11,-0.06,0.01,-0.03,-0.01,0.38,0.15,0.14,0.06,0.07,0.17,0.08,0.06,0.05,0.01,0.03,0.04,0.13,-0.04,0.3,0.09,1,0.27,0.08,0.21,0,0.03,-0.01,0.21,0.13,0.28,-0.07,-0.05,0.03,-0.14,0,0.18,-0.07,-0.07,-0.01
Jest,AO,results!AO:AO,436,-0.02,0.11,0.01,-0.01,0.07,0.07,-0.02,0.19,-0.05,-0.01,0.04,0,0.01,0.21,0.09,0.17,0.02,0.05,0.15,0.07,0.08,0.05,0,0.04,0.04,0.07,0,0.16,0.15,0.27,1,0.08,0.1,-0.02,0.02,0.01,0.1,0.13,0.16,-0.04,-0.02,0.04,-0.07,0.04,0.16,-0.03,-0.03,-0.01
Cucumber,AP,results!AP:AP,872,0,0.05,0.09,0.01,0.03,0.04,-0.03,0.06,0.02,0.01,0.09,-0.01,0.07,0.05,0.02,0.04,0.06,0.04,0.06,0.04,0.09,0.03,0.05,0.02,0.03,0.01,0.04,0.15,0.17,0.08,0.08,1,0.04,-0.01,0.08,0.05,0.02,0.01,0.05,0.03,0.04,0.05,0.03,0.06,0.05,0.05,0.03,0.01
Ava,AQ,results!AQ:AQ,367,-0.01,0.11,0.01,0.02,0.1,0.06,0,0.13,-0.05,-0.01,0.01,0.02,0,0.14,0.1,0.09,0.02,0.05,0.1,0.09,0.08,0.06,-0.01,0.06,0.04,0.1,-0.01,0.08,0,0.21,0.1,0.04,1,-0.01,-0.01,-0.02,0.1,0.16,0.13,-0.07,0,0.05,-0.09,0,0.11,-0.02,-0.02,0.01
Plain CSS,AT,results!AT:AT,6858,0.21,-0.03,-0.03,-0.03,-0.02,-0.02,0.18,-0.03,0.02,0,0.01,-0.01,0.04,-0.03,0,-0.03,0.05,0.04,-0.03,-0.02,-0.01,0.01,-0.01,0.01,0.01,0,0.04,-0.01,0,0,-0.02,-0.01,-0.01,1,-0.03,0.04,0,-0.01,-0.05,0.06,0,0.02,0.05,0.05,-0.01,0.03,0.04,0.02
SASS/SCSS,AU,results!AU:AU,6818,0.05,0.13,0.06,0.03,0.01,0.01,0.02,0.1,0.09,0.07,0.09,0.06,0.05,0.09,0,0,0.1,0.11,0.01,0,0.02,0,0.03,0,0,0.05,0.09,0.11,0.15,0.03,0.02,0.08,-0.01,-0.03,1,0.15,0.09,-0.02,0.12,0.09,0.24,0.11,0.12,0.02,0.05,0.06,0.06,0
LESS,AV,results!AV:AV,3457,0.04,0.03,0.06,0.05,0,0.01,-0.01,0.01,0.12,0.07,0.03,0.01,0.08,0,0.01,0,0.06,0.03,0,0.02,0.01,0,0.04,0,0.02,0.02,0.1,0.08,0.14,-0.01,0.01,0.05,-0.02,0.04,0.15,1,0.05,-0.01,0.02,0.15,0.07,0.06,0.09,0.04,0.02,0.09,0.11,0.03
CSS Modules,AW,results!AW:AW,1986,-0.03,0.11,0.01,-0.01,0.05,0.03,-0.02,0.19,-0.04,0.02,0.04,0.02,0.01,0.2,0.09,0.1,0.01,0.08,0.12,0.06,0.05,0.04,0.01,0.03,0.04,0.08,0.01,0.12,0.05,0.21,0.1,0.02,0.1,0,0.09,0.05,1,0.11,0.2,0.02,0.03,0.06,-0.01,0.05,0.14,0,0.01,0.04
Aphrodite,AX,results!AX:AX,107,-0.01,0.05,0.01,-0.01,0.06,0.04,-0.02,0.09,-0.02,0.01,0.02,0.02,-0.01,0.1,0.16,0.1,0,0.04,0.12,0.09,0.07,0.05,0.02,0.11,0.11,0.06,0,0.04,-0.01,0.13,0.13,0.01,0.16,-0.01,-0.02,-0.01,0.11,1,0.09,-0.04,-0.04,0,-0.05,0.02,0.11,0,-0.01,0.04
Webpack,BA,results!BA:BA,4658,-0.01,0.43,-0.02,0.07,0.08,0.06,-0.06,0.54,-0.09,0.03,0.01,0.08,0.02,0.51,0.12,0.11,0.14,0.12,0.14,0.06,0.05,0.04,0,0.04,0.01,0.15,0.03,0.33,0.17,0.28,0.16,0.05,0.13,-0.05,0.12,0.02,0.2,0.09,1,-0.08,0.03,0.08,-0.17,0.02,0.23,-0.04,-0.04,0.01
Grunt,BB,results!BB:BB,2574,0.09,-0.06,0.05,0.01,-0.06,-0.03,0.07,-0.09,0.17,0.06,0.06,-0.04,0.13,-0.12,-0.04,-0.02,0.05,0.01,-0.02,-0.03,-0.01,-0.03,0.02,-0.01,0.01,-0.01,0.13,0,0.11,-0.07,-0.04,0.03,-0.07,0.06,0.09,0.15,0.02,-0.04,-0.08,1,0.19,0.09,0.33,0.06,-0.03,0.09,0.1,0.05
Gulp,BC,results!BC:BC,5220,0.08,0.1,0.02,0.09,-0.04,-0.01,0.04,0.02,0.2,0.13,0.04,0.08,0.07,-0.01,-0.02,-0.03,0.08,0.1,-0.02,-0.03,0.02,-0.01,0.01,-0.01,0.02,0.04,0.17,0.08,0.13,-0.05,-0.02,0.04,0,0,0.24,0.07,0.03,-0.04,0.03,0.19,1,0.26,0.28,0.02,0.01,0.1,0.09,0.06
Browserify,BD,results!BD:BD,2805,0.07,0.15,0.04,0,0.01,0.03,0.06,0.14,0.03,0.03,0.08,0.09,0.1,0.08,0.01,0,0.08,0.09,0.02,-0.01,0.03,0.01,0.03,0.02,0.03,0.04,0.07,0.13,0.09,0.03,0.04,0.05,0.05,0.02,0.11,0.06,0.06,0,0.08,0.09,0.26,1,0.12,0.04,0.05,0.06,0.07,0.03
Bower,BE,results!BE:BE,2955,0.03,-0.11,0.08,0.03,-0.06,-0.03,0,-0.17,0.25,0.09,0.1,0.01,0.05,-0.19,-0.06,-0.04,0.03,0.07,-0.05,-0.03,-0.01,-0.01,0.05,-0.02,0.01,-0.03,0.14,-0.07,0.06,-0.14,-0.07,0.03,-0.09,0.05,0.12,0.09,-0.01,-0.05,-0.17,0.33,0.28,0.12,1,0.04,-0.05,0.12,0.11,0.05
Native Apps,BH,results!BH:BH,2758,0.04,0.02,0.04,0.05,0.03,0.03,0.04,0.04,0.02,0.05,0.05,0.02,0.04,0.03,0.02,0.04,0.11,0.07,0.05,0.01,0.02,0.03,0.02,0.01,0.01,0.03,0.06,0.05,0.05,0,0.04,0.06,0,0.05,0.02,0.04,0.05,0.02,0.02,0.06,0.02,0.04,0.04,1,0.19,0.1,0.09,0.08
React Native,BI,results!BI:BI,1198,-0.04,0.17,0.02,0.01,0.06,0.07,-0.04,0.33,-0.07,0,0.04,0.01,-0.01,0.29,0.12,0.14,0.05,0.13,0.2,0.12,0.08,0.09,0.07,0.07,0.05,0.12,0.01,0.15,0.05,0.18,0.16,0.05,0.11,-0.01,0.05,0.02,0.14,0.11,0.23,-0.03,0.01,0.05,-0.05,0.19,1,0.02,0,0.07
Cordova,BJ,results!BJ:BJ,1868,0.04,0.01,0.01,0.09,-0.03,-0.01,0.02,-0.07,0.17,0.13,0.02,0.02,0.04,-0.07,0.01,0,0.06,0.09,0.03,0.02,0.02,0.05,0.1,0.04,0.04,-0.01,0.12,0.02,0.08,-0.07,-0.03,0.05,-0.02,0.03,0.06,0.09,0,0,-0.04,0.09,0.1,0.06,0.12,0.1,0.02,1,0.75,0.09
PhoneGap,BK,results!BK:BK,1411,0.05,-0.02,0.02,0.05,-0.03,-0.01,0.04,-0.07,0.14,0.1,0.02,0.02,0.06,-0.07,0,0.01,0.04,0.07,0.03,0,0.02,0.04,0.06,0.02,0.02,0,0.1,0.01,0.07,-0.07,-0.03,0.03,-0.02,0.04,0.06,0.11,0.01,-0.01,-0.04,0.1,0.09,0.07,0.11,0.09,0,0.75,1,0.09
NativeScript,BL,results!BL:BL,186,0,0.02,0.02,0.14,-0.02,0,0,-0.01,0.06,0.15,0.01,0.01,0.02,0,0.03,0.03,0,0.07,0.04,0.05,0.04,0.07,0.05,0.07,0.08,0,0.08,0,0.02,-0.01,-0.01,0.01,0.01,0.02,0,0.03,0.04,0.04,0.01,0.05,0.06,0.03,0.05,0.08,0.07,0.09,0.09,1