Option,Value
Aphrodite,6.72
MERN,6.83
Ava,6.92
Apollo,7.22
FeathersJS,7.24
CSS Modules,7.44
Vue,7.59
Meteor,7.65
React Native,7.72
Angular,7.79
React,7.85
Redux,7.87
MEAN,7.89
Gulp,7.89
Enzyme,7.91
Bower,7.91
SASS/SCSS,7.99
Firebase,8
Jest,8.01
Webpack,8.04
Average,8.07
MobX,8.11
ES6,8.12
Angular 2,8.14
Horizon,8.17
Browserify,8.18
Ember,8.2
Plain JavaScript,8.25
Plain CSS,8.28
REST API,8.47
No Framework,8.48
Mocha,8.48
Relay,8.54
Elm,8.57
GraphQL,8.59
TypeScript,8.72
LESS,8.72
Grunt,8.79
Jasmine,8.8
Native Apps,8.85
Falcor,8.87
Cordova,8.94
CoffeeScript,9
DoneJS,9
Backbone,9.16
ClojureScript,9.28
PhoneGap,9.28
NativeScript,9.35
Cucumber,9.81